answer,question
Trampet,Baget ile çalınan bando çalgısı
Ötüken,Türklerin çıkış noktası olan tarihi şehir
Ütopya,Gerçekleşmesi çok zor ya da imkansız düşünce
Karpuz,"Dışı yeşil, içi kırmızı, sulu ve büyük yaz meyvesi"
Baltık,Letonya'nın kıyısının bulunduğu deniz
Seçmek,Alternatifler arasından birini tercih etmek
Kaptan,Gemiyi en son o terkeder
Nafaka,Boşanma durumunda mahkemece bağlanan aylık
Amfibi,"Kurbağa gibi, suda ve karada yaşayabilen canlı"
Eczane,İlaç satışı yapılan dükkan
Hayyam,"Ömer __, Rubailer'i yazan İranlı filozof"
Özelge,Vergi idaresinden görüş almak için talep edilir
Atalık,Genetiğiyle oynanmamış yerli tohuma verilen ad
Karpuz,Satın alınırken şaplak atılan yaz meyvesi
Hürkuş,Türkiye'de geliştirilen yerli eğitim uçağı
Retina,Gözün görmesini sağlayan ağ tabaka
Boşnak,Kökenleri Bosna Hersek ve çevresi olan halk
Harabe,Eskiden kalma yıkık haldeki yapı veya kent
Türkan,"Türk sinemasının sultanı, __ Şoray"
Muavin,Şehirlerarası otobüste ikram yapan görevli
Demlik,Çaydanlığın üst katı
Favori,Kulakların yanından çeneye doğru uzatılan sakal
Renk körü,Bazı renkleri ayırt edemeyen kişi
Oruç reis,Barbaros Hayreddin'in abisi olan ünlü denizci
Oğuz atay,Henüz 30'larındayken Tutunamayanlar'ı yazdı
Yusufçuk,Helikopter böceği de denen renkli canlı
Son ütücü,Armağan Çağlayan'ın sunduğu talk show programı
Eva peron,"Evita lakabıyla bilinen, Arjantinli başkan eşi"
Beyşehir,Türkiye'nin en büyük tatlı su gölü
Gökdelen,Empire State Binası'nın örneği olduğu yüksek yapı
Paragraf,Yazının satır başıyla ayrıldığı her bir bölüm
Espresso,"İtalya'ya özgü, sert bir kahve demleme türü"
Alaaddin,Sihirli lambası olan masal kahramanı
Itirazım,"2014 yapımı Onur Ünlü filmi, __ Var"
Baterist,Zil ve davullardan oluşan çalgıları çalan kişi
Dışişleri,Eski adı hariciye olan bakanlık
Binicilik,At sürüş ustalığına dayalı sporların genel adı
Mihmandar,Yabancı konukları ağırlayan ve gezdiren görevli
Zonguldak,Taş kömürü denince bu il akla gelir
Iddianame,Savcının mahkemeye sunduğu suçlama yazısı
Çokbilmiş,"Her konuda konuşabilen, biraz da ukala kimse"
Meslektaş,Aynı işi yapan kişilerden herbiri
Ölü canlar,Kahramanı Çiçikov olan Nikolay Gogol romanı
Nene hatun,93 Harbi'nde Erzurum'u savunan kadın kahraman
Eymir gölü,Ankara'da kürek sporu yapılan bir yer
Desperado,Antonio Banderas ve Salma Hayek'in rol aldığı film
Karakovan,Arıların doğal şekilde kütük içinde ürettiği bal
Grafiker,Görsel tasarım ve düzenleme ile uğraşan kişi
Demirbaş,Bir işyerine kayıtlı olan sermaye malı
Kırkayak,Yirmi çift pabuç giyebilecek bir hayvan
Kulakçık,Kalbin üstteki odacıklarına verilen ad
Uzun hava,Türkülerin daha yavaş ve yanık söylenen bölümü
Kalamata,Eşek zeytini de denen büyük zeytin türü
Hipodrom,At yarışlarının düzenlendiği büyük alan
Aforizma,Az lafta çok anlam barındıran özdeyiş
Istasyon,Trenlerin yolcu indirip bindirdikleri durak yeri
Ibretlik,Birlikte kelimesinin anagramı
Yelkovan,Saat üzerinde dakikayı gösteren çubuk
Peter pan,"Varolmayan Ülke'de yaşayan, uçabilen çocuk"
Üç maymun,2008 yapımı Nuri Bilge Ceylan filmi
Ege aydan,Behzat Ç'de Şevket'i canlandıran oyuncu
Pötikare,Kumaş üzerinde küçük dörtgenlerden oluşan desen
Marconi,Telgrafı icat eden İtalyan mucit
Alakart,Menüden özgürce seçim yapılabilen restoran türü
Skolyoz,Omurganın sağ veya sola kayması
Trombon,Bir kolu ileri geri itilerek çalınan nefesli çalgı
Alakart,İstenen yemeğin seçilebildiği menü türü
Yörünge,Gök cisimlerinin izlediği rota
Koridor,Evin oda kapılarının açıldığı uzun ve ince bölüm
Melahat,"Bir Perihan Abla karakteri, Meraklı __"
Skolyoz,Omurga eğriliğinin tıptaki adı
Trombon,Üzerindeki kol itilerek çalınan nefesli çalgı
Venedik,Kanallar ve gondollar şehri
Emirdağ,Balcam Mağarası'nın bulunduğu Afyon ilçesi
Truvakar,Uzunluğu bilek ve dirsek arasında olan giysi kolu
Fotokopi,Belge ve fotoğraf çoğaltmaya yarayan makine
Nadiren,"Çok az, seyrek olarak"
Saygıner,"Semih __, dünyaca ünlü Türk bilardocu"
Çıkıkçı,"Kayan eklemi düzelten, tıp eğitimi almamış kişi"
Börülce,Fasulyeye benzeyen ama daha ince yapılı sebze
Dönüşüm,Franz Kafka ve bir hamam böceği
Akustik,Tüm telleri metal olan klasik gitar
Dönüşüm,Gregor Samsa'nın sabah böcek olarak uyandığı roman
Baltalı,"__ Hano, bilinen ilk Türk kadın kabadayı"
Ağır top,"Bir cemiyetin önde gelen, ünlü kişilerinden biri"
Itinalı,Özenli
Rekolte,Bir dönemde üretilen tarım ürünlerinin toplamı
Gizemli,Esrarengiz anlamına gelen kelime
Istinat,Toprak kaymasını önlemek için örülen duvar
Olimpos,Antalya'nın popüler bir tatil bölgesi
Nöbetçi,Yirmi dört saat açık durumda olan eczane
Guernica,Picasso'nun savaşı konu alan dev tablosu
Heybetli,Ehlibeyt kelimesinin anagramı
Çıkıkçı,Tıp eğitimi almamış ortopedi uzmanı
Boşaltım,Böbrek ve mesanenin dahil olduğu vücut sistemi
Periskop,"Denizaltılarda, su yüzeyini görmeye yarayan cihaz"
Ağrı dağı,Türkiye'nin en yüksek noktası
Matbaacı,Metin ve görselleri kağıt üzerine basan kişi
Sabırsız,"Bir şeyin sonuna kadar bekleyemeyen, acele eden"
Kameriye,"Bahçede oturmak için yapılan kubbeli yapı, çardak"
Dörtnala,Atın çok hızlı koşması
Pandıras,"Palas __; Hazırlıksız bir şekilde, aceleyle"
Periskop,Denizaltılarda suyun üstünü görmeye yarayan alet
Boğatepe,Türkiye'nin ilk peynir müzesinin bulunduğu köy
Erkan can,Gemide adlı filmde kaptanı canlandıran aktör
Ağrı dağı,Türkiye'nin en yüksek yeryüzü oluşumu
Isilik,Vücutta oluşan pembe kabarcıklar
Aliağa,Rafinerisi ile ünlü İzmir ilçesi
Dirhem,Geçmişte kullanılan ve okkadan küçük olan birim
Mucize,Doğaüstü olduğuna inanılan olay
Enişte,Hala ya da teyzenin kocası
Mezgit,Tavuk balığı da denen balık türü
Amitoz,Hücrenin çekirdeği bozulmadan bölünmesi
Kantar,Kamyonların yükünün tartıldığı büyük tartı
Ananas,"Sert kabuklu, içi sarı, tropikal meyve"
Zigana,Orta Anadolu'yu Doğu Karadeniz'e bağlayan geçit
Metruk,"Hiç kimsenin yaşamadığı, terk edilmiş bina"
Zigetvar,Kanuni'nin çıktığı son askeri sefer
Eskrim,Kılıç kullanma becerisine dayalı spor
Abartı,Mübalağa
Tarantino,"Filminde Bay Kahverengi rolündeydi, Quentin __"
Burgazada,Sait Faik'in hikayelerini yazdığı ada
Bodoslama,"__ atlamak, büyük hevesle, sorgusuz kabul etmek"
Ilhan irem,Yazık Oldu Yarınlara adlı şarkıyı söyleyen şarkıcı
Salatalık,Yüzde doksan altısı sudan oluşan sebze
Ütü masası,Kırışıklıkların buharla açıldığı yer
Akbabalar,Doğanın çöpçüleri olan kuşlar
Taş kömürü,Zonguldak'ta çıkarılan maden
Mutabakat,"Uzlaşmaya varma, anlaşma"
Enteresan,"Dikkat çekici, ilginç, garip"
Gökkuşağı,Yağmur sırasında oluşan rengarenk görüntü
Bodoslama,"__ atlamak, büyük hevesle, çok düşünmeden girişmek"
Ishak paşa,Doğubeyazıt'ta bulunan Osmanlı sarayı
Ilhan irem,Anlasana adlı şarkıyı söyleyen şarkıcı
Atar damar,Vücuda kan pompalayan kanal
Kan bilimi,Hematoloji
Tomografi,Bilgisayarlı bir tıbbi görüntüleme yöntemi
Jimnastik,Nadia Comaneci bu spor dalında efsanedir
Büyükelçi,Yurt dışında ülkesini en üst düzeyde temsil eder
Burgazada,Sait Faik Müzesi'nin bulunduğu İstanbul semti
Korozyon,Metal ve metal alaşımların aşınması durumu
Sarmaşık,"Yeşil yapraklı, tırmanan bir bitki"
Don kişot,Cervantes’in ünlü eseri
Pamukçuk,"Ağız, yanak içi veya dilde oluşan mantar"
Kalifiye,"Aranan vasıflara sahip, eğitimli eleman"
Marjinal,"Aykırı, uçta yaşayan kimse"
Fotokopi,Makine ile yapılan belge çoğaltma işlemi
Bakliyat,"Fasulye, nohut gibi bitkilerin kurutulmuş tohumu"
Toroslar,Akdeniz'e paralel uzanan sıradağlar
Dedektif,Bir suçu araştıran özel görevli
Hokkabaz,Cem Yılmaz'ın sihirbaz rolünde olduğu film
Matruşka,İç içe eklenmiş bebeklerden oluşan Rus oyuncağı
Umut ışığı,Beklenmedik anda karşılaşılan ümit verici şey
Manhattan,Woody Allen filmine adını veren New York bölgesi
Sargı bezi,Yaraların tedavisinde kullanılan bağ
Bukalemun,"Dili vücudundan uzun, renk değiştiren sürüngen"
Kuşpalazı,Difteri hastalığının halk dilindeki adı
Enselemek,Bir suçluyu beklemediği bir anda yakalamak
Benzinlik,Akaryakıt istasyonunun isimlerinden biri
Latife,"__ Tekin, Sevgili Arsız Ölüm'ün yazarı"
Baskül,"Şafak Sezer'in oynadığı 90'lar dizisi, __ Ailesi"
Geveze,Çenesi düşük
Siftah,Bir iş yerinde günün ilk kazancı
Incesu,Çorum'un Ortaköy ilçesindeki turistik kanyon
Gazino,Assolistlerin çıktığı eğlence mekanı
Slalom,Bayraklı çubukların yanlarından geçilen kayak türü
Baskül,"__ Ailesi, zayıflamaya çalışan ailenin dizisi"
Kafein,En çok kahvede bulunan uyarıcı madde
Bülbül,Güzel sesli kişilerin benzetildiği kuş
Intörn,Son sınıftaki stajyer tıp öğrencisi
Jargon,Belli bir topluluk içinde kullanılan özel dil
Tespih,Genelde 33 veya 99 boncuktan oluşan nesne
Overlok,Kumaşın kenarlarını korumak için yapılan dikiş
Sevgili,"Aşık olunan kişi, canan"
Ağız eğmek,Hoşlanmadığı birinden ricada bulunmak
Florida,İspanya'nın ABD'ye sattığı eyalet
Kazandibi,Dibi hafif yakılarak hazırlanan süt tatlısı
Tardis,Doctor Who'da kullanılan zaman makinesi
Sağlık,Bireyin her yönden esenlik içinde olması durumu
Geberme,Argo dilinde ölme anlamına gelen kelime
Flamingo,Pembe bir kuş
Obsesif,Belirli bir takıntısı olan kişi
De facto,"Uygulamada olan, yazılı olmayan"
Husumet,İki kişi arasında yaşanan düşmanlık
Pırellı,1872'de kurulan İtalyan otomobil lastiği üreticisi
Kedigözü,Bisikletlerin arkasına takılan reflektör
Defterdar,Osmanlı'da en yüksek mali devlet görevlisi
Bağını,Üzümünü ye __ sorma
Matbaa,1450’de Gutenberg'in icat ettiği buluş
Çöl aslanı,Libyalı direnişçi Ömer Muhtar'ın lakabı
Heybelide,"Biz __ her gece mehtaba çıkardık, TSM şarkısı"
Çıkartmak,"İçeridekini dışarıya almak, götürmek"
Ağırhasta,Çok ciddi bir sağlık sorunu olan kişi
Kalpacısı,İnsanın yüreğinde hissettiği büyük üzüntü
Ilık süt,Yatmadan önce içilmesi tavsiye edilen içecek
Aytekin,"Dünyayı Kurtaran Adam oyuncusu, __ Akkaya"
Ilık süt,Çocuklara yatmadan önce sıklıkla içirilen içecek
Kanguru,"Avustralya ile özdeşleşmiş, keseli hayvan"
Merasim,Önem atfedilen bir olay için düzenlenen tören
Atakule,Tepesindeki restoranın dönebildiği Ankara AVM'si
Telgraf,Mors alfabesini kullanan iletişim sistemi
Erasmus,Rotterdam'ın simgesi olan asma köprü
Kasırga,Çok güçlü fırtına
Haydari,Yoğurtla yapılan bir tür meze
Sakalım,__ yok ki sözüm dinlensin
Diyaliz,Böbreklerin yerine kanın dışarıdan temizlenmesi
Stresli,"Psikolojik olarak gerilmiş, gergin"
Egzotik,Yabancı ülkelere ait ilgi çekici şey
Zampara,Kadınlara düşkün ve sürekli kadın peşindeki erkek
Topkapı,İstanbul Sarayburnu'nda halen müze olan saray
Iştahlı,Hiçbir yemeğe hayır demeyen
Mesnevi,Mevlana'nın uzun eseri
Hazırım,Candan Erçetin'in 1995 yapımı albümü
Tatlıcı,Tezgahında şerbetli ve şekerli yiyecekler olur
Dubleks,Hane içinden erişimli iki katı bulunan ev
Izlanda,Dünyanın en eski parlementosunun olduğu ülke
Bangkok,Tayland'ın başkenti ve en kalabalık şehri
Konsept,Etkinliklerde belli bir konuya göre yapılmış tema
Damping,Herhangi bir malı maliyetinin altına satmak
Harbiye,Osmanlı'da askeri okul anlamına gelen kelime
Harekat,"Bir bölgeye, belli amaçla yapılan askeri operasyon"
Otonomi,Özerklik
Uruguay,Futbolda ilk dünya kupasını kazanan ülke
Implant,Çene kemiğine çivilenerek takılan protez diş
Aynakol,Bisiklette hareketi sağlayan dişli takım
Ağlayan,Hakkari'de yetişen bir lale türü
Cildiyeci,Dermatolog
Papirüs,Eski Mısır'da kullanılan kağıtlara verilen isim
Karakulak,"Osmanlı'da haber getirip götüren kişi, emir çavuşu"
Günyapmak,Geleneksel ev hanımlarının en önemli etkinliği
Düzeltmek,Tamir etmek; doğru şekle getirmek
Genleşmek,Isının etkisiyle hacmi artmak
Takmaisim,Lakap
Hekimoğlu,Karadeniz yöresinin halk kahramanı
Zabıta,Belediye polisi
Kuzguncuk,Ekmek Teknesi dizisinin çekildiği İstanbul semti
Zincirsiz,Tarantino'ya Oscar getiren 2012 yapımı film
Tutanak,Mahkemede söylenen sözlerin yazıldığı belge
Ebruli,Ezginin Günlüğü'nün 1996 yılında çıkan albümü
Soygun,Bir yerde silahla tehdit ederek yapılan hırsızlık
Medusa,Yunan mitolojisinde yılan saçlı kadın
Zimmet,İmza karşılığı teslim edilen şirket parası
Liseli,Üniversiteye hazırlanan öğrenci
Içgüdü,"Sharon Stone'un oynadığı film, Temel __"
Kavruk,Tencerede doğrudan ısı alarak kırmızılaşan yiyecek
Şirret,Kavga çıkarmayı seven kişi
Derhal,"Bir an önce, hızlıca"
Aydınger,"Çizim için kullanılan, parlak yüzeyli bir kağıt"
Kaytarma,İşten kaçma
Muharebe,Bir savaşta yaşanan çatışma
Kitlesel,Belirli bir insan grubuna yönelik
Gemi yolu,Rota
Komşuluk,Aynı sokakta oturanların birbiriyle hukuku
Onarılma,Tamir edilme
Haftalık,Yedi günde bir yapılan
Öğrenmek,"Bilgi edinmek, beceri kazanmak"
Herhangi,"Rastgele, belirli olmayan anlamındaki sıfat"
Şaşkaloz,"Argoda ne yapacağını bilemeyen, boş bakan kimse"
Mütercim,Bir yazıyı bir dilden başka bir dile çeviren kimse
Olasılık,Bir şeyin gerçekleşme ihtimali
Renk körü,Kırmızı ile yeşili ayırt edemeyen kişi
Funda arar,2018 çıkışlı Arabesk albümünün yorumcusu
Metallıca,Thrash akımının öncüsü heavy metal grubu
Baharatlı,"İçerisinde kimyon, karabiber gibi şeyler olan"
Serbestçe,Özgürce; istediği şekilde
El sözlüğü,Kolaylıkla taşınabilen küçük lügat
Anımsatma,Hatırlatma
Sağlamlık,Dayanıklılık
Caydırmak,Birini kararından veya sözünden döndürmek
Hızlanmak,Süratini artırmak
Kalıcıruj,Uzun süre çıkmayan dudak boyası
Babasının,"__ hayrına, karşılıksız iyiliği niteler"
Kapıdan,Mart __ baktırır kazma kürek yaktırır
Fermuar,"Çizme, çanta gibi şeylerdeki açma kapama düzeneği"
Menemen,"Yeşil biber, domates ve yumurtayla yapılan yemek"
Iftihar,"Onur duymak, kıvanç"
Anomali,Davranış bozukluğu
Dilemma,İkilemin yabancı kökenlisi
Uzunfar,"Arabalarda, karanlıkta uzağı gösteren lamba"
Veranda,Binanın giriş kapısının bulunduğu balkon
Blogger,Dijital günlük yazarı (İng.)
Harbiden,"""Gerçekten, doğruyu söylüyorum"" anlamındaki kelime"
Oğuzcan,"Ümit Yaşar __, aşkın, hüznün ve İstanbul'un şairi"
Bitkisel,Bisiklet kelimesinin anagramı
Fonoloji,Ses bilimi
Muhabbet,__ Kuşu; adını sohbetten alan kuş
Çocuksuz,Oğlu ya da kızı olmayan
Bengalce,Bangladeş'in resmi dili
Eastwood,"Clint __, İyi, Kötü ve Çirkin filminde iyi olan"
Tavsiye,Vasiyet kelimesinin anagramı
Yarışçı,Müsabakaya katılım göstermiş kişi
Bozulmak,Arızalanmak
Diskotek,Modern müzikle dans edilen eğlence mekanı
Barista,Kahve hazırlamakla görevli kişi
Belarus,Başkenti Minsk olan Doğu Avrupa ülkesi
Hortlak,Öldükten sonra dirilip gelmiş kötü ruh
Ibrişim,İpeğin kalınca bükülmesiyle elde edilen iplik
Trileçe,Orta Amerika'dan gelen popüler bir tatlının adı
Madonna,"Sabahattin Ali romanı, Kürk Mantolu __"
Dönemeç,Farklı yönlerdeki iki yol arasındaki viraj
Şakadan,"Latife niyetine, mahsus"
Amadeus,Mozart'ın hayatını konu alan Oscar ödüllü film
Gestapo,İkinci Dünya Savaşı Almanya'sında sokak polisi
Epidemi,"Çok çabuk yayılan bulaşıcı hastalık, salgın"
Maliyet,Kar eklenmeden önceki fiyat
Pencüdü,Tavlada 5-2 gelen zar
Sakarin,Yapay tatlandırıcı
Barfiks,Yüksek noktaya asılan sabit egzersiz çubuğu
Cilveli,"Nazlı, işveli"
Bitişik,"Dokunacak mesafede, yan yana"
Günahım,"Allahım Neydi __, Kayahan'ın ünlü bir şarkısı"
Burjuva,Kentsoylu; İşveren sınıfında yer alan zengin kişi
Yalaka,"Dalkavuk, sürekli birilerine yaranan kimse"
Servet,Kişinin sahip olduğu varlıkların tümü
Patara,Antalya'nın Kaş ilçesindeki antik kent ve plaj
Bakaya,Yoklama sonrası askerlik çağrısına icabet etmeyen
Herpes,Uçuk sorununa neden olan virüs
Ayrıca,"""Bunun dışında, başkaca"" anlamına gelen kelime"
Temmuz,"3 __ 1943, Kösedağ Savaşı'nın yapıldığı tarih"
Mikser,Yiyecekleri harmanlayan elektrikli karıştırıcı
Balbal,İslamiyet öncesi Türklerin kullandığı mezar taşı
Defans,Sporda savunma oyuncusu
Maraba,Ürün karşılığında toprağı ekip biçen işçi
Yineleniş,Tekrar edilme durumu
Parlatıcı,Cila
Çıldırtma,Birini çileden çıkartma
Atcambazı,Binicilik ve akrobasiyi birleştiren sirk çalışanı
Denizüssü,Donanmaya ait askeri bölge
Sevgiseli,Adını su taşkınından alan tezahürat şekli
Taksonomi,Biyolojik organizmaları sınıflandıran bilim
Kızkardeş,Bacı
Tabakhane,Derinin serilip bekletildiği ve işlendiği yer
Asırlarca,Yüzyıllar boyunca
Melezleme,Farklı türleri çiftleştirip yeni tür üretme
Omurgasız,Çıkarı için saf değiştirebilen; ilkeleri olmayan
Dilsizlik,"Lal olma durumu, ahrazlık"
Karacahil,"Aşırı derecede bilgisiz, eğitimsiz"
Romantizm,Duygu ve hayali öne çıkaran edebi akım
Alzheimer,Kişinin yavaş yavaş bildiklerini unuttuğu hastalık
Gürcistan,Kapı komşumuz Batum'un yer aldığı ülke
Hipotermi,Vücudun normal sıcaklığının altına düşmesi
Kırlangıç,Yuvasını dam altlarına yapan küçük ötücü kuş
Çelik kasa,Sağlam bir malzemeden yapılan para saklama dolabı
Nefertiti,Eski Mısır'ın en bilinen kraliçelerindendir
Karabasan,"Bir tür uyku felci hali, kötü ve boğucu rüya"
Balıklama,Önce baş girecek şekilde suya atlama
Kronograf,Yarışlarda süre tutmaya yarayan saat türü
Gürcistan,Türkiye'nin kapı komşusu Batum'un yer aldığı ülke
Orta sehpa,Salon koltuklarının merkezinde bulunur
Karaciğer,Kendini yenileyebilen organ
Bodyguard,Whitney Houston ve Kevin Costner'in filmi
Hipotermi,Vücudun sıcaklığının tehlikeli şekilde düşmesi
Cem karaca,Tamirci Çırağı adlı şarkıyı söyleyen şarkıcı
Paratoner,Yıldırım kaynaklı yangınları önler
Diplomasi,Uluslararası ilişkileri düzenleyen antlaşmalar
Evropiyum,Simgesi Eu olan kimyasal bir element
Üsküdar,Kız Kulesi'nin bağlı olduğu ilçe
Kariyer,İş yaşamındaki deneyimlerin toplamı
Tramvay,İETT kısaltmasındaki ilk T'nin açılımı
Gülümse,1991'de piyasaya çıkan Sezen Aksu albümü
Makrome,El ile aksesuar örme işi
Adı sanı,"__ belli değil, kim olduğu bilinmeyen"
Sulu göz,Her fırsatta ağlayan kişi
Üsküdar,Kız Kulesi'nin yanıbaşındaki ilçe
Anahtar,Kilit açar
Latince,Roma İmparatorluğu'nun resmi dili
Atatürk,Türkiye Cumhuriyeti'nin ilk cumhurbaşkanı
Medrese,Osmanlı'da üniversiteye verilen isim
Hububat,Buğday ve arpa gibi tahıl tohumlarının genel adı
Telkari,Gümüş tel işleme sanatı
Kontrat,Kiracı ile ev sahibi arasında düzenlenir
Fikirli,Açık __; Yeniliklere olumlu yaklaşan kişi
Holigan,"Kavga çıkaran, fanatik futbol takımı taraftarı"
Merdane,İki ucunda sap bulunan kalın oklava
Çıkarma,Toplamanın zıddı olan işlem
Hacivat,Karagöz'ün arkadaşı
Taptaze,Yeni toplanmış veya pişmiş gıdalar için kullanılır
Camekan,Satılan ürünlerin ardına koyulduğu vitrin
Cildiye,Deride görülen hastalıklarla ilgili tıp dalı
Özel jet,Şahsi hava aracı
Rekolte,Tarımda bir yıl içinde toplanan mahsulün tamamı
Karaoke,Sözleri çıkarılmış şarkıya mikrofonla eşlik etmek
Oksijen,Akciğer vasıtasıyla kana ulaşan element
Medrese,Osmanlı'da farklı derslerin okutulduğu okul
Mandolin,İlkokulda çalınan en yaygın telli müzik aleti
Açık lise,Dışarıdan bitirilen üniversite öncesi okul
Ocakbaşı,Ortasında uzun bir mangal olan kebapçı
Bisiklet,"İki tekerli, pedallarla hareket eden motorsuz araç"
Muzaffer,"Zafer kazanmış, üstünlük elde etmiş kimse"
Nevşehir,Kapadokya'yı görmek için bu şehre gidilir
Flamingo,Pembe ve uzun bacaklı bir kuş
Şahmeran,"Pers mitolojisinde, insan başlı, iyi huylu yılan"
Kundakçı,"Binaları, otomobilleri bilerek yakan suçlu"
Psikolog,Bireyin zihin ve davranışlarını inceleyen uzman
Bandırma,Atatürk'ü Samsun'a götüren vapur
Ara güler,Master of Leica unvanına sahip Türk fotoğrafçı
Taşıyıcı,Jason Statham'ın Frank adlı kurye olduğu film
Göknar,Mitolojide Truva Atı'nın yapıldığı ağaç türü
Cömert,"Eli açık, cimri olmayan"
Kervan,Eskiden yolcu ve mal taşıyan yük hayvanı katarı
Yüreği,"Ana __, çocuğunun üzülmesine dayanmaz"
Neşeli,"Sevinçli, mutlu"
Çaylak,Toy ve deneyimsiz
Kanada,Kuzey Amerika kıtasının en kuzeyindeki ülke
Matrah,Vergi hesaplanırken temel alınan tutar
Libero,Sahanın her yerinde oynayabilen futbolcu
Tarçın,Salep ve boza üzerine dökülen baharat
Mızrap,"Bağlama çalmada kullanılan pena, tezene"
Avanta,"Argoda, emek harcamadan elde edilen kazanç"
Ferman,Osmanlı padişahlarının verdiği yazılı emir
Kaşağı,Ömer Seyfettin'in bir öykü kitabı
Klavye,Tuş takımı
Peynir,Kaşar ve rokfor gibi türleri olan süt ürünü
Korece,Pyongyang'da konuşulan dil
Çağdaş,"İçinde bulunulan zamana uygun, modern"
Bozacı,Şahidi şıracı olan meslek sahibi
Termik,Fosil yakıtlardan elektrik enerjisi üreten santral
Son dördün,Ayın dolunaydan sonra küçüldüğü 13 günlük evre
Dedektörü,"Mayın __, mayınların yerini tespit etmeye yarar"
Dikiş atma,Vücuttaki bir kesiği kapatmak için yapılan işlem
Keşişleme,Güneydoğudan esen rüzgar
Dedektörü,"Mayınların yerini tespit etmeye yarar, mayın __"
Kırk fırın,Ustalaşmak için yenmesi gereken ekmek miktarı
Talih kuşu,Uçup konacağı yer piyangolarda belli olur
Karikatür,Güldürücü ve düşündürücü resim
Maluliyet,Hastalık nedeniyle çalışma hayatından çekilme
Oya baydar,Kayıp Söz'ün sosyolog yazarı
Hindistan,Baharat Yolu'nun başladığı ülke
Adli sicil,Bireylerin suç kayıtlarını tutma yöntemi
Mert fırat,Başka Dilde Aşk filminde Onur rolündeki aktör
Teknoloji,İnsanların geliştirdiği tüm araç ve teknikler
Eczacılık,İlaçlar hakkında eğitim verilen fakülte
Ada vapuru,"Simitçi, kahveci ve gazozcuyla yol alan bir taşıt"
Dağ keçisi,Dik yamaçlara tırmanabilen bir hayvan
Kabristan,Mezarlık
Feodalite,Derebeylik olarak bilinen yönetim şekli
Egale etme,Bir rekoru tekrar kırma
Ünlü uyumu,Türkçede sesli harflerin arasındaki ahenk
Silahlara,"Yazarı bu esere 47 farklı son yazdı, __ Veda"
Arkeoloji,Indiana Jones'un akademide uzmanlık alanı
Zeki müren,Sanat Güneşi olarak da bilinen Türk şarkıcı
Muntazam,Derli toplu ve düzenli
Assolist,Buluşmaya hep en son gelen arkadaş
Semender,Kuyruklu kurbağaların diğer adı
Astronom,Gök bilimci
Muhasebe,Şirketlerde hesap işleriyle ilgilenen bölüm
Kuru sıkı,Patladığında sadece ses çıkaran silah mermisi
Sandalet,Yanları ve üstü açık yazlık ayakkabı
Temmuzda,Fatih Akın'ın 2000 yılında çektiği film
Elbakımı,Manikür
Kör nokta,Dikiz aynalarının göstermediği arka kısım
Nakarat,Şarkının tekrarlanan ve akılda kalan kısmı
Çerçeve,Bir şeyin etrafına geçirilen kenarlık
Overlok,"Beş dakikada yapılır, hemen teslim edilir!"
Estetik,Yaratımın uyum ve güzellik kanunu
Tahliye,Salıverme
Arşimet,Suyun kaldırma kuvvetini bulan matematikçi
Soprano,Müzikte en ince kadın sesine verilen isim
Motorlu,"Otomobil, kamyon gibi taşıtların genel adı"
Ahtapot,Sekiz tane kolu olan yumuşak deniz canlısı
Turnike,Basketbolda 2 adım atıldıktan sonra yapılan sayı
Hasılat,Gün sonunda elde edilen gelir toplamı
Bahreyn,Adı iki denizin arasında anlamına gelen ülke
Karınca,"__ duası gibi, kargacık burgacık yazı"
Meksika,Adını bir tribün gösterisine veren ülke
Muamele,"Davranış, tutum"
Münakaşa,Bir konu üzerine tartışma
Simetrik,Kestirim kelimesinin anagramı
Naftalin,"Yün eşya koruyucu, aromatik hidrokarbon"
Dudaktan,"__ Kalbe, Reşat Nuri'nin dizi de yapılan romanı"
Klarnet,Hüsnü Şenlendirici'nin ustası olduğu müzik aleti
Yetişkin,Türkiye'de 18 yaşına gelmiş bireyin resmi statüsü
Değişik,Farklı
Aşk ölmez,Sertab Erener'in 2005 çıkışlı çok satan albümü
Yardımcı,"__ hakem, ofsaytı tespit etmekle yükümlüdür"
Güreşçi,"Minderde dövüşür, künde atar"
Karışık,Farklı özelliklere sahip cisimlerden oluşmuş
Malcolm,"__ X, Amerikalı siyahi aktivist lider"
Yırtmaç,Etekteki dekolte kısmı
Elbise,Giysi; uzun kadın giysisi
Tetris,Düşen her parçanın dört kareden oluştuğu oyun
Difteri,Kuşpalazı hastalığı
Yayılma,Hastalığın diğer bir organa metastaz yapması
Toplama,Dört işlemin en çok kullanılanı
Mısırunu,Karadeniz Bölgesi'nin ekmeklerinin hammaddesi
Biatetmek,Birinin her söylediğini sorgusuz kabul etmek
Şirinler,"Küçük, mavi karakterleriyle bilinen animasyon"
Briyantin,Saça şekil vermek için sürülen yağlı madde
Göçmenlik,Kendi ülkesi dışında yaşamaya gitme durumu
Çene çalma,"Yerli yersiz konuşma, gevezelik etme"
Kardeşlik,28 Nisan ile 4 Mayıs arasında kutlanan hafta
Araeleman,"Vasıfsızdan fazla, uzmandan az bilgiye sahip işçi"
Pak panter,"Bu filmde Mehmet Ali Erbil, Yuri Gagarin'i oynadı"
