answer,kategori,question
Katibe,,Kamu kurumlarında yazışmaları yapan kadın görevli
Kırsal,,Karslı kelimesinin anagramı
Kokona,,"Aşırı derecede süslü, yaşlı kadın"
Toksin,,Mikroorganizmaların salgıladığı zehirli madde
Küstah,,"Saygısız, haddini bilmeyen kişi"
Ursula,,Küçük Denizkızı'na bir çift bacak veren cadı
Ayağım,,"Christy Brown'un filmi çekilen kitabı, Sol __"
Yasama,,Yürütme ve yargı ile birlikte anılan devlet görevi
Kalıntı,,Antik kentlerde günümüze kadar gelen harabeler
Amiyane,,"Bayağı, kaba tabir"
Kasırga,,Çok kuvvetli rüzgarların genel adı
Mavi ay,,Bruce Willis'in 80'lerde oynadığı dedektif dizisi
Sam yeli,,Sıcak çöl rüzgarı
Erdal öz,,Can Yayınları'nın kurucusu
Perese,,Duvarcılar doğrultu bulmak için bunu kullanır
Santral,,Enerji üretim tesisi
Desidero,,"Ali __, MFÖ'nün ünlü bir şarkısı"
Harcırah,,Görevli olarak başka bir yere giden memura ödenir
Bumerang,,"Fırlatana geri dönen, ağaçtan yapılma av silahı"
Fesleğen,,Diğer adı reyhan olan bitki
Telgraf,,Mors alfabesi kullanılan haberleşme aracı
Langırt,,Futboldan yola çıkarak tasarlanan masa oyunu
Humbara,,Demir veya tunçtan yapılan eski bir top bomba
Vekalet,,"Avukata, muhasebeciye noter imzasıyla verilir"
Cıvata,,Bir ucuna somun takılan bağlantı malzemesi
Pardus,,Türkiye'de geliştirilen ilk işletim sistemi
Nedime,,Düğünde geline yardımcı olan kişi
Çıkrık,,Kuyudan kovayı çekmek için kullanılan düzenek
Galeri,,Sanat eserlerinin sergilendiği özel salon
Retina,,Gözün ışık alıcılarından oluşan kısmı
Kasket,,"Önü siperlikli, genelde erkeklerin taktığı şapka"
Tortul,,Küçük taş ve minerallerin birikmesiyle oluşan kaya
Misina,,Balık tutmak için kullanılan plastik ip
Bambul,,"Ekinleri kemiren kahverengi, kanatlı bir böcek"
Düldül,,Red Kit'in sadık atı
Akıncı,,Türkiye'de yapılan ilk insansı robot
Smaçör,,Voleybolda topu rakip sahaya sertçe vuran oyuncu
Asfalt,,Karayoluna dökülen çakıllı yer sakızı
Fritöz,,Kızartma yapmaya yarayan elektrikli kap
Hoşnut,,"Halinden memnun, bir şikayeti olmayan"
Su aygırı,,Hipopotam
Mahlas,,Yazarların ve gazetecilerin kullandığı takma isim
Fincan,,Kulplu sıcak içecek kabı
Kehribar,,"Yarı saydam, fosilleşmiş bir reçine"
Sarmaşık,,Tolga Karaçelik'in Altın Portakal kazanan filmi
Algarina,,Deniz taşımacılığında kullanılan vinçli tekne
Redaktör,,Yazılı metnin gerekli düzeltmelerini yapan kişi
Sinameki,,Zayıflama çaylarındaki bağırsak çalıştırıcı bitki
Şangırtı,,Tabak çanağın kırılırken çıkardığı yüksek ses
Yanardağ,,Magmanın yeryüzüne çıktığı yerde oluşan yer şekli
Mürekkep,,"Dolma kalem içine koyulan renkli, sıvı madde"
Aklımda,,Ladeste kaybetmemek için kullanılan söz
Huma kuşu,,Yükseklerden seslenen bir hayvanla başlayan türkü
Şezlong,,Havuz başı koltuğu
Genotip,,DNA'daki genetik bilgiler
Affleck,,"Batman'i canlandıran aktörlerden biri, Ben __"
Fıskiye,,Süs havuzunda suyu göğe doğru fışkırtan araç
Ekvator,,Kuzey ve Güney Yarım Küre'nin buluştuğu çizgi
Orkinos,,Ton balığı olarak bilinen balık
Katalog,,Üretilen malların satışı için düzenlenen liste
Üç nokta,,Bitmemiş cümlelerin sonuna konan noktalama işareti
Venezuela,,Hugo Chavez bu ülkenin devlet başkanıydı
Altı şapka,,Çok yönlü bir düşünce yöntemi
Analjezik,,Ağrı kesici
Büyükelçi,,Devletin yurt dışındaki temsilcisi
Perakende,,Malın azar azar satılmasına dayanan satış biçimi
Hıncahınç,,"Çok sıkışık olan, tıka basa"
Kara kitap,,Ana karakteri Galip olan ünlü Orhan Pamuk romanı
Tüy sıklet,,Boksörlerin 57 kiloda olduğu kategori
Cem karaca,,Anadolu Rock türünün kurucularından olan şarkıcı
Troposfer,,Atmosferin bulutlu katmanı
Şelale,,Niagara ünlü bir örneğidir
Mazhar,,Müzik grubu MFÖ'de M'nin temsil ettiği isim
Frappe,,Hazır kahvenin soğuk içilen bir çeşidi
Ananas,,Çizgi karakter Sünger Bob'un evi olan meyve
Valens,,İstanbul'daki Bozdoğan Su Kemeri'nin diğer adıdır
Güngör,,"Ben Anadolu oyununun yazarı, __ Dilmen"
Itiraz,,Davada verilen karara karşı çıkma
Beşgen,,Bir elin parmakları kadar kenarı olan şekil
Züğürt,,"Parasız, meteliksiz"
Alerji,,Özellikle bahar aylarında nükseden rahatsızlık
Nötron,,Atom çekirdeğini oluşturan parçacıklardan biri
Misket,,Ankara'nın ünlü oyun havası
Emekli,,Çalışma hayatını tamamlamış; ömürlük izne ayrılmış
Amatör,,Profesyonel olmayan
Uzun çizgi,,Metinde konuşmaları belirten noktalama işareti
Ontogenez,,Organizmanın genetik kodlara dayanan gelişimi
Stetoskop,,Vücut içindeki sesleri dinlemeye yarayan alet
Donatello,,Eli sopalı Ninja Kaplumbağa
Volta atma,,Sürekli olarak bir aşağı bir yukarı yürüme
Aslanağzı,,Yanlarından basınca kukla gibi oynayan çiçek
Stenograf,,Hızlı yazma sistemini kullanan kimse
Afife jale,,İlk Türk kadın tiyatro sanatçısı
Zeytinlik,,Değerli bir yağlık meyvenin yetiştiği yer
Ağustos,,Yılın sekizinci ayı
Seksek,,Yere tebeşirle karelerin çizildiği çocuk oyunu
Müzikal,,Bol şarkılı film veya tiyatro oyunu
Monoray,,Tek bir demir yol üzerinde giden ulaşım aracı
Alyuvar,,Kana kırmızı rengini veren kan hücresi
Oh olsun,,“Canıma değsin” anlamına gelen söz
Okçuluk,,Hedefi vurmaya dayalı geleneksel spor
Sibirya,,"__ kurdu, renkli gözlü bir köpek cinsi"
Eminönü,,İstanbul'da Mısır Çarşısı'nın bulunduğu semt
Preveze,,28 Eylül 1538 tarihinde yapılan büyük deniz savaşı
Kokteyl,,İçeceklerle yapılan karışım
Nebula,,Uzaydaki devasa gaz ve toz bulutu
Uluabat,,Bursa'da yer alan tektonik göl
Yüksük,,Dikiş dikerken parmağa geçirilen metal koruyucu
Çelebi,,Karagöz ve Hacivat'taki kibar aile çocuğu
Sözcük,,Kelime
Silkme,,Halteri omuzdan destek alarak kaldırma yöntemi
El oğlu,,Mecazen damat için kullanılan söz
Yarasa,,Çoğunlukla baş aşağı asılarak uyuyan hayvan
Savana,,Ekvator çevresindeki çayırlık alanlar
Buğday,,Keşkeğin ana maddesi
Sakarya,,Adapazarı olarak da bilinen Marmara ili
Menekşe,,Viola cinsini oluşturan bitki türlerinin genel adı
Patrıck,,Sünger Bob'un arkadaşı olan deniz yıldızının adı
Hentbol,,Yedişer kişilik iki takımla yapılan salon sporu
Parazit,,"Pire, kene gibi canlılara verilen genel ad; asalak"
Kırlent,,Süsleme amaçlı küçük yastık
Pisuvar,,Tuvaletlerde erkeklerin kullandığı klozet çeşidi
Bandrol,,Kitap ve CD'lere yapıştırılan telif etiketi
Diyojen,,Osmanlı Devleti'ndeki ilk mizah dergisi
Kumanya,,"Yolculukta yenmek için hazırlanmış yemek, azık"
Grandük,,Avrupa'da üçüncü derece soyluluk unvanı
Kaktüs,,Radyasyonu emdiğine inanılan dikenli bitki
Dereotu,,Cacıktan eksik edilmeyen güzel kokulu bitki
Seyislik,,Atların bakımını üstlenenlerin mesleği
Çıtlatma,,Gizli bir bilgiyi birisine ucundan söyleme
Buz devri,,20 bin yıl öncesini konu alan animasyon serisi
Reverans,,Eğilip dizleri kırarak verilen selam
Sürüngen,,"Yılan, kertenkele ve timsah bu sınıfa girer"
Kanaviçe,,Aynı adlı bezin üzerine yapılmış işleme ve nakış
Seherbaz,,Harry Potter serisinde kara büyücü avlayan cadı
Konserve,,Bozulmadan saklanabilmesi için kutulanmış yiyecek
Mülakat,,Yüz yüze yapılan iş görüşmesi
Iskarpin,,"Konçsuz, ökçeli klasik ayakkabı"
Tarayıcı,,İnternette dolaşmaya imkan tanıyan uygulama
Sinan ağa,,Edirne'de yer alan tarihi meydan çeşmesi
Yeditepe,,İstanbul için kullanılan yaygın tanımlardan biri
Mizansen,,Sinemada herhangi bir olayın sahnelenmesi
Portekiz,,Futbolcu Cristiano Ronaldo'nun memleketi
Bengalce,,Bangladeş'te konuşulan dil
Garantör,,Bir iş için güvence veren kişi veya kurum
Şahmeran,,Bilekle orta parmak arasına takılan takı
Gilaburu,,"Kırmızı, tadı acımtrak, nohut kadar bir meyve"
Akçaağaç,,"Yaprağı, Kanada bayrağında yer alan bitki"
Greyfurt,,Altıntop da denen bir turunçgil
Galvaniz,,Paslanmaması için demire yaptırılan banyo
Av köpeği,,"Setter, Pointer, Retriever bu türden hayvanlardır"
Güneşlik,,Evde sabahtan akşama aydınlığı dengeleyen perde
Sefiller,,Baş kahramanı Jean Valjean olan kitap
Gözü kara,,Korkusuzca tehlikeye atılan anlamında bir deyim
Bindallı,,"Kına gecelerinde, kına yakılırken giyilir"
Büyükayı,,Yedi yıldızdan oluşan ünlü bir takımyıldız
Tatbikat,,Doğal afet yaşanmışçasına yapılan önlem uygulaması
Masabaşı,,Bir kurumda oturularak yapılan işi belirtir
Zerdeçal,,Sarıkök de denen şifalı bir baharat; Hint safranı
Ajanda,,Takvimli defter
Mamure,,Mersin'in Anamur ilçesindeki tarihi kale
Eritme,,Isı yoluyla akışkan hale getirme
Kılçık,,Balık kemiği
Eskrim,,İnce kılıçla yapılan spor
Prolog,,Tragedyanın giriş bölümü
Perhiz,,Sağlık için uygulanan diyet
Teksas,,Kovboyları ile ünlü ABD eyaleti
Macarena,,90'ların dansıyla meşhur İspanyol şarkısı
Nemrut,,Adıyaman'ın Kahta ilçesindeki ünlü dağ
Gargamel,,Şirinler'in azılı düşmanı
Haraptar,,Züğürt Ağa'nın ağası olduğu köy
Arkeolog,,Kazı bilimi alanında çalışan kişi
Gergedan,,Yüzünde 1 veya 2 tane boynuzu olan iri memeli
Assolist,,Sahneye son çıkan sanatçı
Nevresim,,Yorganın üzerine geçirilen torba biçimli kılıf
Acı kavun,,Dikenli yeşil meyveleri olan yabani bir bitki
Pigmeler,,Papua Yeni Gine'de yaşayan kısa boylu insanlar
Silisyum,,Simgesi Si olan element
Bili bili,,Tavukları çağırma şekli
Sonbahar,,Ağaç yapraklarının sararmaya başladığı mevsim
Alev alev,,Şiddetli yangını betimleyen bir ikileme
Kerkenez,,Ken Loach'un bir kuşla ilgili 1969 yapımı filmi
Güvenlik,,Konut ve iş yerinde giriş çıkışı denetleyen birim
Trençkot,,"Belinde kemeri olan, sezonluk uzun ceket"
Geçinmek,,"Birbiriyle anlaşmak, uyum sağlamak"
Çağlayan,,Çok yüksek olmayan şelale
Cenk koray,,Tele Kutu'nun 2000'de vefat eden sunucusu
Gün batımı,,"Bu vakitten sonra karanlık düşer, gece başlar"
Damak tadı,,Kişiye göre değişen lezzet algısı
Dört işlem,,"Toplama, çıkarma, çarpma, bölmeyi tanımlar"
Karaciğer,,En büyük iç organ
Portakalı,,"Şeker __, Jose Mauro de Vasconcelos'un başyapıtı"
Açık sözlü,,"Düşüncesini olduğu gibi söyleyen, gizlisi olmayan"
Gaz pedalı,,Araba kullanırken buna basıldıkça araç hızlanır
Çapraz kur,,Üç ülkenin para birimi değerinin birbirine oranı
Atılgan,,Uzay Yolu dizisindeki uzay gemisinin adı
Turnike,,Kanamayı durdurmaya yönelik ilk yardım yöntemi
Ilkyardım,,Hastaya olay yerinde yapılan ön müdahale
Aparkat,,Boksta aşağıdan yukarıya atılan yumruk
Hakkari,,Cilo Dağı'nın bulunduğu il
Tavşanı,,"__ tazı tutar, çalımı avcı satar"
Kelebek,,Sadece bir gün yaşadığına inanılan kanatlı hayvan
Açgözlü,,"Hep bulduğundan daha fazlasını isteyen, haris"
Manolya,,Güzel kokulu iri yapraklı çiçek; bir kadın adı
Suflör,,Oyuncuya repliklerini hatırlatan kişi
Çıtçıt,,Giysilerde kullanılan bir tür tutturmalık
Kabine,,Bakanlar kurulunun diğer adı
Kanepe,,Kokteyllerde servis edilen küçük süslü ekmek
Çiğdem,,Bu çiçeğin adı İzmir'de çekirdek yerine kullanılır
Tarkan,,Megastar lakaplı şarkıcımız
Trampa,,"Parasız alışveriş, takas"
Kısrak,,Dişi at
Mühürleme,,Eti yüksek ateşte kısa süre pişirme
Madrid,,Dünya Turizm Örgütü'nün merkezi olan İspanya şehri
Işlemci,,İngilizce kısaltması CPU olan bilgisayar devresi
Suistimal,,İyi niyeti ya da verilen yetkiyi kötüye kullanma
Gümüşhane,,Kov Kalesi'nin yer aldığı il
Kireç taşı,,Kalkerin diğer adı
Gutenberg,,Modern matbaa makinesinin mucidi
Dürüstlük,,Özü sözü bir olma
Grup laçin,,Bekar Gezelim'le ünlenen Türk müzik topluluğu
Tekerleme,,Masalların başında bulunan uyaklı giriş cümlesi
Tahsildar,,Alacak toplayan kişi
Hidrosfer,,Dünya üzerinde suların oluşturduğu tabaka
Bilezik,,Elin kolla birleştiği yere takılan madeni halka
Penguen,,"Kutuplardaki perdeli ayaklı, uçamayan deniz kuşu"
Fiyasko,,İddialı bir teşebbüsün hezimetle sonuçlanması
Lakerda,,İri palamut ya da torikten yapılan salamura
Ebeveyn,,Ana baba
Travers,,Üzerine rayların konulduğu demir veya ağaç parça
Venedik,,Kanalları ve gondolları ile ünlü İtalyan şehri
Erguvan,,İlkbaharda İstanbul Boğazı'nı süsleyen ağaç
Taşkent,,Özbekistan'ın başkenti
Ihracat,,Başka bir ülkeye mal satma
Fruktoz,,Meyveden alınan hali sağlıklı olan bir tür şeker
Papağan,,Kelimeleri tekrar edebilen kuş türü
Kütahya,,Çiniciliğin önde gelen merkezlerinden olan şehir
Uruguay,,İlk Dünya Kupası maçının yapıldığı ülke
Ilkokul,,Okuma yazma öğrenilen temel eğitim kurumu
Lınkedın,,İş hayatının sosyal medya ağı
Bengütaş,,"Türkiye'nin ilk kadın heykeltraşı, Sabiha __"
Gardenya,,Sıcak iklimde yetişen güzel kokulu bir ağaç çiçeği
Konuşkan,,"Anlatmayı seven, lakırtısı bol"
Fi tarihi,,Çok eski zamanları anlatmakta kullanılır
Kabadayı,,Külhanbeyi
Antrenör,,"Sporcuları çalıştıran, yetiştiren kişi"
Demirbaş,,İşyerinde kullanana zimmetlenen eşya
Referans,,Kitabın kaynakça bölümündeki eserlerin her biri
Akvaryum,,Evde balık beslemek için gerekli cam kap
Fay hattı,,Yer kabuğunda oluşan kırıklara verilen isim
Bıldırcın,,Yumurtası ve etinden faydalanılan göçebe bir kuş
Pigment,,Canlılara renklerini veren kimyasal madde
Çekirge,,"Ekinlere zararlı, sıçrayan bir böcek"
Leblebi,,Nohuttan yapılan kuruyemiş
Sepet kur,,Birden fazla dövizle hesaplanan ortalama değer
Pediatri,,Çocuk hastalıklarıyla ilgilenen tıp dalı
Diklenmek,,"Birine kafa tutmak, karşı durmak"
Çalar saat,,Alarmlı zaman sayacı
Bukalemun,,Bulunduğu yere göre renk değiştirebilen hayvan
Rest çekme,,Bir konu hakkında katı ve kesin tavır koyma
Şampiyon,,Turnuvayı kazanan takım ya da sporcu
Ekinoks,,Her 21 Mart ve 23 Eylül’de meydana gelen olay
Kokoreç,,Kuzu bağırsağından yapılan baharatlı yemek
Giresun,,Fındığın en çok yetiştirildiği kuzey ili
Sarraf,,Değerli kağıt ve altın gibi malları satan kimse
Kaplan,,En büyük kedi türü
Polyester,,Kimyasaldan üretilen bir kumaş türü
Kıvırıcı,,"Kirpiklere şekil vermede kullanılır, kirpik __"
Hafriyat,,Kepçe ve kamyonlarla yapılan toprak kazma işi
Festival,,Gençlikle özdeşleşen müzikli açık hava etkinliği
Casusluk,,"Gizli kalması gereken bilgiyi, gizlice araştırma"
Şifresiz,,Parola gerektirmeyen
Kumandan,,Şabanoğlu Şaban filminde Hüsamettin'in mesleği
Tenzilat,,"Bir ürünün fiyatında yapılan indirim, iskonto"
Bilimsel,,"Bilgiye ve ilme dayalı, ilmi"
Ses kaydı,,Sözlü röportajın deşifresi için kullanılır
Balıkçıl,,Kıyılarda yaşayan ve deniz canlısıyla beslenen kuş
Begonvil,,"Bir çiçek türü, aynı zamanda Sezen Aksu şarkısı"
Maksimum,,Bir değerin en üst sınırı
Çatlamak,,Ar Damarı __; Utanılacak işler yapmak
Densizlik,,Yersiz ve saygısız şekildeki davranış
Ali cengiz,,"Kurnaz masal kahramanı, oyunları meşhurdur"
Neodimyum,,Simgesi Nd olan element
Halt etmek,,"Uygun olmayan, kabul görmeyen davranışta bulunmak"
Tuba ünsal,,Nam-ı diğer Tuuba
Küme düşme,,"Sporda, bulunulan ligden bir alt lige inme"
Dert değil,,Metin Arolat'ın çok da sıkıntı etmediği şarkı
Ana kuzusu,,"Nazlı yetiştirilmiş, sorunlardan uzak yaşamış kişi"
Korkuteli,,Güllük Dağı Milli Parkı bu Antalya ilçesindedir
Betimleme,,"Bir şeyi sözle ya da yazıyla resmetme, tasvir"
Bluetooth,,Kablosuz veri aktarma teknolojisi
Etnolojik,,Dil ve kültür bakımından
Kamboçya,,Tayland ve Vietnam'a komşu Asya ülkesi
Samimiyet,,İlişkide içten olma durumu
Kawasakı,,"Jet Ski'nin mucidi, Japon motorlu taşıt markası"
Ispanaklı,,Temel Reis'in en sevdiği börek çeşidi
Litvanya,,EuroBasket 2015 final maçında İspanya’nın rakibi
On numara,,Tam puan alacak nitelikte
Değdirme,,"Bir şeyi, başka bir şeye dokundurma"
Humanizm,,İnsanı herşeyin üstünde tutan görüş
Asal sayı,,Sadece kendisine ve 1'e bölünen pozitif rakam
Kontrbas,,Keman ailesinin en büyük üyesi
Suretler,,"2010 yapımı Derviş Zaim filmi, Gölgeler ve __"
Arasıcak,,Mezelerle ana yemek arasında sunulan yiyecek
Ayıklama,,Pirinci taşlardan ayrıştırma işlemi
Hemofili,,Kanın pıhtılaşmaması hastalığı
Istikrar,,Ülke ekonomisinde sağlanan denge ve düzen
Balıkçısı,,"Halikarnas __, Cevat Şakir'in mahlası"
Aritmetik,,Sayıların özellikleri ile ilgili matematik dalı
Sosyoloji,,Toplum bilimi
Konteyner,,"Yük taşımacılığında kullanılan büyük, metal kutu"
San marino,,Ayrton Senna'nın kaza geçirdiği Grand Prix
Acemkürdi,,Klasik Türk müziğinde birleşik bir makam
Kaligrafi,,Güzel yazı yazma sanatı
Polyester,,Sıcak havada terleten bir kumaş türü
Açık sözlü,,Düşündüğünü gizlemeden söyleyen
Hamburger,,Köfteli yuvarlak sandviç
Prematüre,,Beklenenden çok daha erken doğan bebek
Danimarka,,En güneyde yer alan İskandinav ülkesi
Korkuluk,,Balkonun kenarlarındaki koruyucu çit
Bir ayağı,,"__ çukurda; Çok yaşlı, ölmek üzere olan kişi"
Tomurcuk,,Bir bitkinin çiçek açacak filizi
Godzilla,,Filmlere konu olan hayali Japon canavarı
Olgunluk,,Bir canlının yapı olarak yetişkinliğe ulaşması
Damperli,,Kasası yukarı aşağı hareket edebilen kamyon
Kazayağı,,Göz çevresindeki kırışıklıklara verilen ad
Karenina,,"Anna __, Tolstoy'un romanı ve karakteri"
Silisyum,,Camın hammaddesi
Ayçöreği,,Hilal şeklinde bir hamur işi
Ümraniye,,İstanbul Anadolu Yakası'nın en kalabalık ilçesi
Atmasyon,,Günlük konuşmada uydurma şeyler için kullanılır
Tahrifat,,"Bir belgenin üzerinde oynama yapma, bozma"
Benelüks,,"Belçika, Hollanda ve Lüksemburg'un ortak adı"
Kapıkulu,,Osmanlı padişahlarını korumakla görevli askerler
Çekimser,,Oylamada olumlu ya da olumsuz cevap vermeyen
Antrenör,,Sporcuların idmanlarını yaptıran uzman
Üstüpü,,"Ustaların kullandığı, ip yumağını andıran bir bez"
Viyola,,Kemandan sonra en küçük yaylı çalgı
Ferhat,,Aşkı için dağı delen hikaye kahramanı
Karate,,Tekme ve yumrukla yapılan Uzak Doğu dövüş sporu
Özveri,,Kendi çıkarını düşünmeden yapılan fedakarlık
Bikini,,Sünger Bob ve arkadaşlarının yaşadığı kasaba
Kaymak,,Yoğurt ve sütün üzerinde oluşan yağlı tabaka
Turist,,"__ Ömer, Sadri Alışık'la özdeşleşen film karakteri"
Sarraf,,Değerli kağıt ve altın alışverişi yapan kimse
Körebe,,Bir kişinin gözleri bağlanarak oynanan çocuk oyunu
Engebe,,"Yoldaki çukur, yükselti gibi bozukluk"
Kürkçü,,Tilkinin dönüp dolaşıp geldiği dükkan
Berlin,,Almanya'nın başkenti
Üstüpü,,"Tamircilerin kullandığı, ip yumağını andıran bez"
Dipnot,,Herhangi bir yazının altına yerleştirilen açıklama
Karaman,,"__'ın koyunu, sonra çıkar oyunu"
Mıhlama,,Kaşar ve mısır unu ile yapılan Karadeniz yemeği
Buselik,,Batı müziğinde minöre karşılık gelen musiki makamı
Besteci,,Müzik eseri yaratıcısı
Bandana,,Motosiklet sürenlerin başlarına bağladığı fular
Iktisat,,Ekonomi
Kadırga,,Orta Çağ'a özgü yelkenli ve kürekli savaş gemisi
Jamaika,,Usain Bolt'un memleketi
Inalcık,,"Halil __, hocaların hocası tarihçi"
Karaman,,"Atasözüne göre, oyunu sonra çıkan koyun"
Atletik,,"Sporcu fiziğine sahip olan, spor yapmaya müsait"
Düdüklü,,Yemek kaynayınca öterek ses çıkaran tencere
Gazlama,,Arabayı ve arkadaşı harekete geçirme eylemi
Tükürük,,Ağız içerisinde oluşan sıvı
Kristin,,Dallas'ın üçüncü sezon finalinde J.R.'ı vurdu
Iki lafı,,"__ bir araya getirememek, ifade eksikliği yaşamak"
Emprime,,Resim ya da desen basılmış kumaş
Madalya,,Maçı kazanan sporcuya verilir
Fiyasko,,"Beklenilenin aksine, hüsranla biten sonuç"
Klarnet,,İnsan sesine en yakın sesi veren enstrüman
Sığınak,,Bombardımandan korunmak için kullanılan özel yer
Ekinoks,,Gündüz ile gecenin eşit olması durumu
Işitsel,,Duyma ile ilgili olan
Palamut,,Meşe ağacının meyvesi
Faizsiz,,Paranın getirisinin olmadığı bankacılık türü
Bakteri,,Tek hücreli mikroorganizma grubu
Muşmula,,"Beş çekirdeği olan yuvarlak, mayhoş tatlı meyve"
Ümitsiz,,Bir şeyden umudu olmayan
Lağımcı,,Osmanlı ordusunda tünel kazmakla görevli asker
Ikebana,,Yaşayan çiçekler anlamına gelen Japon çiçek sanatı
Umberto,,"Gülün Adı kitabının yazarı, __ Eco"
Madalya,,İlk üç sırayı alan sporculara verilir
Bilezik,,Bileğe takılan süs halka
Aksiyon,,"Sinemada maceranın eksik olmadığı, tempolu tür"
Şirince,,Üzüm bağları ile ünlü İzmir köyü
Klarnet,,Hüsnü Şenlendirici'nin uzmanı olduğu enstrüman
Abesle,,__ iştigal etmek; Boş işlerle uğraşmak
Eskici,,Kullanılmış eşya ticareti yapan kişi
Atmaca,,Türkiye'de sık görülen küçük bir kartal türü
Lojman,,Bir yerde çalışanlara verilen konut
Nesnel,,"Tarafsız şekilde, objektif olarak"
Porsuk,,Sakarya Nehri'nin en uzun kolu olan çay
Sakızı,,"Çam __, çoban armağanı"
Kayısı,,Malatya ile özdeşleşmiş olan meyve
Gollum,,Yüzüklerin Efendisi'nde yüzüğe tapan eski hobbit
Açelya,,Renkli çiçekler açan kokusuz bir süs bitkisi
Insuyu,,Burdur'da yer alan ve turizme ilk açılan mağara
Parmak,,Bıraktığı izin her insanda farklı olduğu uzuv
Stüdyo,,Fotoğraf ve video çekimi yapılan özel mekan
Aksesuar,,Asıl eşyanın yanındaki süs amaçlı diğer eşya
Eskici,,Sokaklarda gezerek ikinci el eşya alan kimse
Yoklamak,,Nabız __; Bir konudaki niyeti öğrenmeye çalışmak
Angajman,,Askeri müdahalelerde uyulması gereken kurallar
Katarakt,,"Göz merceğinin saydamlığını kaybetmesi, akbasma"
Mercedes,,"Maria __, başrolünde Thalia'nın olduğu pembe dizi"
Atlantik,,Titanik'in battığı okyanus
Las vegas,,Amerika'daki kumarhaneler şehri
Yeşilköy,,İstanbul Atatürk Havalimanı'nın eski adı
Patlıcan,,İmambayıldı yemeğinin ana malzemesi
Hürriyet,,1948'de Sedat Simavi tarafından kurulan gazete
Makinist,,Tren sürücüsü
Sonbahar,,Güney yarımkürede Mart ayında başlayan mevsim
Rönesans,,Floransa'da başlayan Avrupa aydınlanma dönemi
Karnaval,,En ünlülerinden biri Rio de Janeiro'da yapılır
Aksesuar,,Kıyafeti tamamlayan süs eşyası
Yoklamak,,Birinin bir konudaki niyetini öğrenmeye çalışmak
Moonwalk,,Michael Jackson’ın klasikleşmiş dans figürü
Denizatı,,Erkeği doğum yapan su canlısı
Can yücel,,Çağdaş şiirin Datça sever şairi
Bordür,,Yola en yakın kısma döşenen kaldırım taşı
Parfüm,,Güzel kokmak için kullanılan sıvı
Ustura,,Berberlerin tıraş için kullandıkları kesici alet
Erişte,,Anadolu usulü makarna
Klasör,,"Bilgisayarda dosyaların saklandığı yer, dizin"
Reçine,,Keman yayına sürülür
Broker,,Borsada başkası adına hisse alım satımı yapan kişi
Avatar,,500 milyon dolara çekilen James Cameron filmi
Tabiat,,"Canlı ve cansız varlıkları içeren çevre, doğa"
Bülbül,,"Yuvası, bir hamur tatlısına ismini vermiş kuş türü"
Cağ kebabı,,Yere paralel döner
Lohusa,,Yeni doğum yapmış kadın
Elizabeth,,Cate Blanchett'in canlandırdığı kraliçe
Açık deniz,,Karanın gözden kaybolduğu engin mavilik
Cağ kebabı,,Yere paralel olarak odun ateşinde pişirilen döner
Uçaksavar,,Havadan gelen saldırılara karşı kullanılan silah
Keçi inadı,,Adını bir hayvandan alan diretme gücü
Imitasyon,,Orijinal bir ürünün bire bir taklidi
Işportacı,,Sokakta satış yapan seyyar tüccar
Viskozite,,Fizikte maddenin akma direncini ifade eden terim
Bit pazarı,,Kullanılmış eşyaların alınıp satıldığı yer
Oldubitti,,Bir işi aceleye getirip sonuca bağlama
Ibibikler,,__ öter ötmez ordayım!
Birdir bir,,Eğilen oyuncunun üzerinden atlanarak oynanan oyun
Sabit disk,,Bilgisayarda verilerin depolandığı manyetik aygıt
Harcıalem,,"Herkese uyan, herkesin kullanabileceği şey"
Kemal film,,Türkiye'nin ilk özel sinema şirketi
Formalite,,Mevzuat gereği yapılması zorunlu işlem
Sibel alaş,,Taht Oyunları kitabının çevirmeni de olan müzisyen
Yeşil ışık,,Trafik lambasında yandığında yol geçişe açıktır
Kırtasiye,,"Kağıt, kalem ve türevi gereçlerin satıldığı yer"
Magnezyum,,Simgesi Mg olan çok hafif bir element
Bütünleme,,Sınavda başarısız olan öğrencilerin telafi sınavı
Kronoloji,,Tarihi olayları zaman sırasına göre dizme işi
Basketbol,,Beşer kişilik takımlarla oynanan sepet topu
Süreölçer,,Kronometrenin Türkçe karşılığı
Kahraman,,Dondurması ile ünlü Türkiye şehrinin unvanı
Bana bana,,Grup Pan'ın 1989 Eurovision'unda söylediği şarkı
Hollanda,,İnci Küpeli Kız eserinin sergilendiği ülke
Horlamak,,Uyurken nefesi gürültülü alıp vermek
Yalıboyu,,Amasya'nın sembol evleri bu isimle de bilinir
Anakonda,,En büyük yılan türü
Kulaklık,,Yürürken müzik dinleyebilmek için takılır
Debriyaj,,Motorla vites kutusunu birbirine bağlayan düzenek
Tanpınar,,"Ahmet Hamdi __, Saatleri Ayarlama Enstitüsü yazarı"
Envanter,,Bir işletmenin tüm varlığını gösteren çizelge
Çağrışım,,Bir şeyin başka bir şeyi anımsatması
Dünya evi,,Evlilik anlamında kullanılan bir terim
Senarist,,"Dizi, film metinleri yazan kişi"
Gelin başı,,Kuaförün evlenecek kadına yaptığı saça verilen ad
